Site_Name	trap_number	month	day	year	acerPens	acerRubr	acerSacc	acerSpic	amelLaev	betuLent	caryTome	cornAlte	cornFlor	faguGran	fraxAmer	fraxPenn	kalmLati	liriTuli	magnTrip	oxydArbo	prunSero	querAlba	querCocc	querMich	querPrin	querRubr	querVelu	querUnkn	querImma	rhodCata	robiPseu	robiPseu_fruit	tiliAmer	tsugCana	tsugCana_fruit	sorbAmer	sorbAmer_fruit	unknUNKN	notes
Purchase_Knob	1	5	29	2012	0	33	0	0	0	7	0	NaN	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	NaN	NaN	2	0	0	0	0	0	0	0	0	
Purchase_Knob	2	5	29	2012	0	39	0	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	0	0	0	0	0	0	0	0	0	
Purchase_Knob	3	5	29	2012	0	227	0	0	0	2	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	0	0	0	0	0	0	0	0	0	
Purchase_Knob	4	5	29	2012	0	284	0	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	0	0	0	0	0	0	0	0	0	
Purchase_Knob	5	5	29	2012	0	294	0	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	0	0	0	0	0	0	0	0	0	139 acer immature
Purchase_Knob	6	5	29	2012	0	62	0	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	11	0	0	0	0	0	0	0	0	
Purchase_Knob	7	5	29	2012	0	10	0	0	0	1	0	NaN	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	NaN	NaN	0	0	0	0	0	0	0	0	0	
Purchase_Knob	8	5	29	2012	0	62	0	0	0	0	0	NaN	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	NaN	NaN	0	0	0	0	0	0	0	0	0	
Purchase_Knob	9	5	29	2012	0	81	0	0	0	0	0	NaN	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	NaN	NaN	0	0	0	0	0	0	0	0	0	
Purchase_Knob	10	5	29	2012	0	358	0	0	0	18	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	0	0	0	0	0	0	0	0	0	
Purchase_Knob	11	5	29	2012	0	2	0	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	0	0	0	0	0	0	0	0	0	
Purchase_Knob	12	5	29	2012	0	17	0	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	0	0	0	0	0	0	0	0	0	
Purchase_Knob	13	5	29	2012	0	20	0	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	0	0	0	0	1	0	0	0	0	
Purchase_Knob	14	5	29	2012	0	22	0	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	0	0	0	0	0	0	0	0	0	
Purchase_Knob	15	5	29	2012	0	44	0	0	1	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	378	0	0	0	0	0	0	0	0	
Purchase_Knob	16	5	29	2012	3	14	0	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	0	0	0	0	0	0	0	0	0	6 acer immature
Purchase_Knob	17	5	29	2012	0	12	0	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	0	0	0	0	18	0	0	0	0	
Purchase_Knob	18	5	29	2012	0	9	0	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	0	0	0	0	0	0	0	0	0	
Purchase_Knob	19	5	29	2012	0	7	0	0	0	0	0	NaN	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	NaN	NaN	9	0	0	0	0	0	0	0	0	
